id;date;description;amount
1;2023-08-14T18:22:17;Mississippi Account Associate;13968
2;2023-08-14T13:55:43;port innovate Persevering;9517
3;2023-08-14T01:09:35;Hawaii Sausages connecting;52157
4;2023-08-14T09:33:32;Optimization Rustic Synergistic;14208
5;2023-08-14T07:44:18;Card Iowa;77596
6;2023-08-14T13:20:59;mesh Rhode Automotive;8019
7;2023-08-14T16:57:53;infrastructures Cambridgeshire GB;67835
8;2023-08-14T04:50:29;Implemented synthesizing program;18655
9;2023-08-14T07:08:07;Generic RAM;43990
10;2023-08-14T17:09:44;Bedfordshire partnerships;13274
